Object,Object_Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10
rose,17,poncho (0.152052134275),velvet (0.135663598776),stole (0.0939310193062),"bonnet, poke bonnet (0.0837800651789)","wool, woolen, woollen (0.0575223565102)",mask (0.033404096961),wig (0.028297111392),"quill, quill pen (0.0234442129731)","feather boa, boa (0.0176844894886)",maillot (0.0158321931958)
hawaiishirt,18,fur coat (0.741565048695),kimono (0.120104551315),"pajama, pyjama, pj's, jammies (0.0478524453938)",military uniform (0.0284734331071),vestment (0.0213481411338),stole (0.016281766817),velvet (0.00825319625437),trench coat (0.00463150953874),poncho (0.00228887028061),cuirass (0.00218168413267)
pigeon,19,"water ouzel, dipper (0.172575727105)",hummingbird (0.110039584339),chickadee (0.109569393098),magpie (0.077263340354),"albatross, mollymawk (0.0687335282564)",bulbul (0.041072268039),kite (0.0344496369362),spoonbill (0.0339427255094),"junco, snowbird (0.0335237085819)",ptarmigan (0.0328053981066)
coffeetable,20,"harmonica, mouth organ, harp, mouth harp (0.129612267017)","notebook, notebook computer (0.0551939047873)","rule, ruler (0.0519051849842)",plate rack (0.0477131642401),"slide rule, slipstick (0.0393448248506)",modem (0.0368687547743),"laptop, laptop computer (0.0339368209243)",space heater (0.0310725197196),"screen, CRT screen (0.0302602238953)",window shade (0.0260680504143)
polarbear,21,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.84285646677)",badger (0.0387933254242),kuvasz (0.0266286171973),Great Pyrenees (0.0202952474356),golden retriever (0.0132223870605),Labrador retriever (0.011963410303),"African grey, African gray, Psittacus erithacus (0.00751606281847)",otter (0.00462052039802),"American black bear, black bear, Ursus americanus, Euarctos americanus (0.00260771019384)","gorilla, Gorilla gorilla (0.00252404692583)"
pug,22,"pug, pug-dog (0.686682164669)",Brabancon griffon (0.168226867914),French bulldog (0.0695150047541),"Norwegian elkhound, elkhound (0.0327762402594)","Boston bull, Boston terrier (0.0137826027349)",bull mastiff (0.00892519112676),muzzle (0.00337601010688),toy terrier (0.00302604259923),Great Dane (0.00199064193293),boxer (0.00149133580271)
germanshepherd,23,Egyptian cat (0.293309271336),"tabby, tabby cat (0.138503909111)","Eskimo dog, husky (0.0846627503633)","Cardigan, Cardigan Welsh corgi (0.0783093571663)",Siberian husky (0.0677432492375),"Norwegian elkhound, elkhound (0.0218169)",tiger cat (0.0185151174664),"Siamese cat, Siamese (0.0180333834141)",collie (0.0178602449596),jay (0.0168020296842)
daisy,24,hair slide (0.458730727434),daisy (0.194018855691),"bolo tie, bolo, bola tie, bola (0.0808582752943)",pinwheel (0.0760004818439),"quill, quill pen (0.0741340145469)",hummingbird (0.0265410318971),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0203232225031)","swab, swob, mop (0.00918937288225)",cardoon (0.00855769682676),screwdriver (0.00826755445451)
swordfish,25,kite (0.112208515406),bee eater (0.108997941017),"American chameleon, anole, Anolis carolinensis (0.0513536483049)",bulbul (0.0494677275419),"mantis, mantid (0.04362173751)",hummingbird (0.0405131205916),"albatross, mollymawk (0.0391801409423)",airliner (0.0363841578364),"plow, plough (0.0356248505414)","warplane, military plane (0.0318239890039)"
pandabear,26,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca (0.918283939362)",Bedlington terrier (0.0117996493354),"Siamese cat, Siamese (0.0117924939841)",soccer ball (0.00874308589846),"teddy, teddy bear (0.00563527271152)","American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier (0.00493569485843)","Staffordshire bullterrier, Staffordshire bull terrier (0.00324116111733)","ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.00268063228577)","Sealyham terrier, Sealyham (0.00249723042361)",weasel (0.00237565743737)
dalmatian,27,"dalmatian, coach dog, carriage dog (0.747465074062)","king snake, kingsnake (0.0569726787508)",Great Dane (0.0301291048527),chain (0.0159261319786),hair slide (0.012184147723),"Gila monster, Heloderma suspectum (0.00923619884998)","chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour (0.00887601077557)","binder, ring-binder (0.00722372718155)","hognose snake, puff adder, sand viper (0.0058604166843)","jaguar, panther, Panthera onca, Felis onca (0.00345445377752)"
catfish,28,"spotted salamander, Ambystoma maculatum (0.13649122417)","ground beetle, carabid beetle (0.057948552072)",slug (0.0569556094706),"African chameleon, Chamaeleo chamaeleon (0.0453176423907)","quill, quill pen (0.0420495904982)","platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus (0.0288659278303)",hair slide (0.0215566959232),isopod (0.020877301693),"common newt, Triturus vulgaris (0.0197546593845)",jacamar (0.0183673128486)
bedsidetable,29,"file, file cabinet, filing cabinet (0.10083681345)",safe (0.075451977551),"binder, ring-binder (0.0492555126548)","television, television system (0.0432254076004)",window screen (0.0382934361696),desktop computer (0.0340597331524),"home theater, home theatre (0.0317196063697)","screen, CRT screen (0.0303093492985)",entertainment center (0.0262782145292),"fire screen, fireguard (0.0253249630332)"
sportscar,30,car wheel (0.739206016064),"sports car, sport car (0.119903020561)",convertible (0.0644737407565),"racer, race car, racing car (0.02372177504)","beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.0163723416626)","grille, radiator grille (0.00775595661253)",car mirror (0.00548397423699),"limousine, limo (0.00248568528332)",minivan (0.00193578156177),"pickup, pickup truck (0.00160468928516)"
hummingbird,31,"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.368320345879)",jay (0.243116810918),hummingbird (0.163231030107),jacamar (0.0782466158271),macaw (0.0304093901068),Windsor tie (0.02982849814),bee eater (0.0229682475328),peacock (0.0101851215586),"quill, quill pen (0.00615233695135)","European gallinule, Porphyrio porphyrio (0.0055609671399)"
skittles,32,"rubber eraser, rubber, pencil eraser (0.391846269369)",joystick (0.159232676029),pill bottle (0.0949910804629),"pick, plectrum, plectron (0.0457474440336)",thimble (0.0441959835589),hair slide (0.037237804383),necklace (0.0281200967729),water bottle (0.0243572760373),"perfume, essence (0.0182556007057)",abacus (0.0141512341797)
sunflower,33,pinwheel (0.646403253078),daisy (0.250632852316),hair slide (0.0347403734922),wall clock (0.0314461626112),bee (0.00870836619288),cardoon (0.00643459521234),"quill, quill pen (0.00340855750255)","pot, flowerpot (0.00235241721384)",sea urchin (0.00139368406963),"electric fan, blower (0.00133088522125)"
tshirt,34,"jersey, T-shirt, tee shirt (0.989080786705)",sweatshirt (0.00337349670008),maillot (0.00245359959081),vestment (0.00123130122665),poncho (0.000523828261066),abaya (0.000409431144362),velvet (0.00037360918941),cardigan (0.000368226523278),"pajama, pyjama, pj's, jammies (0.000243163158302)","wool, woolen, woollen (0.000221686321311)"
clownfish,35,knee pad (0.166191771626),"gasmask, respirator, gas helmet (0.132733732462)",oxygen mask (0.0974814146757),"bathing cap, swimming cap (0.0490071997046)","bucket, pail (0.045034751296)",stethoscope (0.0396080613136),toilet seat (0.0354556776583),pencil sharpener (0.0215008761734),paintbrush (0.0210032295436),"hook, claw (0.0187171623111)"
ambulance,36,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria (0.539860486984)",ambulance (0.350297659636),moving van (0.0702931657434),minibus (0.013062636368),"garbage truck, dustcart (0.00588843179867)",minivan (0.00549809355289),"recreational vehicle, RV, R.V. (0.00455177668482)","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.00334868300706)","limousine, limo (0.0018258044729)","mobile home, manufactured home (0.000629507412668)"
dress,37,"hoopskirt, crinoline (0.430142730474)",overskirt (0.37374868989),velvet (0.0593682155013),gown (0.0558110773563),abaya (0.0375024229288),sarong (0.0186604354531),cloak (0.00833112560213),apron (0.00304575893097),bulletproof vest (0.00259431148879),"lampshade, lamp shade (0.00144501391333)"
sidetable,38,desk (0.266687780619),turnstile (0.213248506188),"pool table, billiard table, snooker table (0.140289396048)","pedestal, plinth, footstall (0.139545500278)",guillotine (0.0693463012576),potter's wheel (0.0390350557864),safe (0.0172941368073),"fire screen, fireguard (0.0141998790205)","dining table, board (0.0130461724475)","parallel bars, bars (0.0125130191445)"
koalabear,39,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus (0.929291129112)","wallaby, brush kangaroo (0.0175630114973)",Kerry blue terrier (0.00914637744427),"Norwegian elkhound, elkhound (0.00662964908406)","red wolf, maned wolf, Canis rufus, Canis niger (0.00537678552791)","teddy, teddy bear (0.00328519614413)","timber wolf, grey wolf, gray wolf, Canis lupus (0.00319572724402)","fox squirrel, eastern fox squirrel, Sciurus niger (0.00260493298993)","coyote, prairie wolf, brush wolf, Canis latrans (0.00224972330034)",hare (0.00215265643783)
greyhound,40,"Scottish deerhound, deerhound (0.599879205227)",whippet (0.104605078697),Egyptian cat (0.0594163686037),"Saluki, gazelle hound (0.0580482371151)",flat-coated retriever (0.0302244182676),Italian greyhound (0.0263824034482),curly-coated retriever (0.0197021532804),Mexican hairless (0.0146833602339),Irish wolfhound (0.0133883375674),"borzoi, Russian wolfhound (0.00795576814562)"
train,41,stretcher (0.185801893473),"passenger car, coach, carriage (0.137787640095)","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.124427348375)",electric locomotive (0.0637287050486),"studio couch, day bed (0.0349290072918)","limousine, limo (0.0299599487334)",modem (0.0272911395878),"harmonica, mouth organ, harp, mouth harp (0.0214848928154)",ski (0.0177505295724),"oboe, hautboy, hautbois (0.0161143150181)"
lobster,42,knot (0.383487641811),"American lobster, Northern lobster, Maine lobster, Homarus americanus (0.14380402863)",pinwheel (0.115664884448),stole (0.0342330858111),macaw (0.0235341601074),velvet (0.020703503862),jellyfish (0.0205786023289),"wool, woolen, woollen (0.0197611115873)","feather boa, boa (0.0188664738089)",scorpion (0.0182027854025)
lamp,43,table lamp (0.804477035999),"lampshade, lamp shade (0.194528669119)","punching bag, punch bag, punching ball, punchball (0.000410616921727)","chime, bell, gong (0.000272116012638)",umbrella (5.45787079318e-05),"hook, claw (5.43862042832e-05)","spotlight, spot (3.76807365683e-05)","pedestal, plinth, footstall (3.17273988912e-05)",tripod (2.10708440136e-05),soap dispenser (7.97250595497e-06)
grasses,44,"pineapple, ananas (0.632375359535)","pot, flowerpot (0.0869899764657)",vase (0.0668777823448),"quill, quill pen (0.0564962476492)",daisy (0.0183587968349),cardoon (0.0160735435784),umbrella (0.0139833679423),centipede (0.00699781812727),"sea anemone, anemone (0.0053971465677)","ear, spike, capitulum (0.00484564295039)"
chips,45,plastic bag (0.250055730343),"swimming trunks, bathing trunks (0.117856681347)",mountain tent (0.0691444352269),velvet (0.0682961419225),sleeping bag (0.0530864410102),"bathing cap, swimming cap (0.0341295786202)",triceratops (0.0330197922885),"diaper, nappy, napkin (0.0240591522306)",shower cap (0.0226857420057),head cabbage (0.021166652441)
horse,46,black-and-tan coonhound (0.0862710997462),muzzle (0.0683218240738),flat-coated retriever (0.062280472368),Labrador retriever (0.0395788922906),ox (0.0377680324018),sleeping bag (0.0367666184902),"king penguin, Aptenodytes patagonica (0.0355259627104)",neck brace (0.0295842960477),sweatshirt (0.0278238300234),"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis (0.0259345490485)"
motorcycle,47,moped (0.463187128305),"motor scooter, scooter (0.21663479507)","tricycle, trike, velocipede (0.182504311204)",crash helmet (0.0298076178879),"hook, claw (0.0102337561548)",hair slide (0.0086632380262),"bicycle-built-for-two, tandem bicycle, tandem (0.0054432740435)","ocarina, sweet potato (0.00525869801641)",knot (0.00522843422368),oxygen mask (0.00515353446826)
lion,48,"Newfoundland, Newfoundland dog (0.333432793617)","affenpinscher, monkey pinscher, monkey dog (0.27110555768)","Afghan hound, Afghan (0.0605677366257)",flat-coated retriever (0.0344138331711),"siamang, Hylobates syndactylus, Symphalangus syndactylus (0.0333592928946)",Tibetan mastiff (0.0285527147353),Kerry blue terrier (0.0199161153287),"Bouvier des Flandres, Bouviers des Flandres (0.0159742757678)",briard (0.0147732179612),Sussex spaniel (0.0136499637738)
rhino,49,"dugong, Dugong dugon (0.421754568815)","hog, pig, grunter, squealer, Sus scrofa (0.157905369997)",triceratops (0.115321516991),"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.048548720777)","Indian elephant, Elephas maximus (0.0405130200088)",tusker (0.0321178622544),"African elephant, Loxodonta africana (0.025515910238)","killer whale, killer, orca, grampus, sea wolf, Orcinus orca (0.0232265628874)","hippopotamus, hippo, river horse, Hippopotamus amphibius (0.013547080569)","wild boar, boar, Sus scrofa (0.0130913332105)"
popcorn,50,"piggy bank, penny bank (0.171017035842)",vase (0.108257599175),jigsaw puzzle (0.0986163020134),hair slide (0.0945914164186),pinwheel (0.0612105317414),water bottle (0.0592588633299),shower curtain (0.0583144389093),shower cap (0.0303310155869),soap dispenser (0.0301010068506),"rubber eraser, rubber, pencil eraser (0.0213365163654)"
elephant,51,"Indian elephant, Elephas maximus (0.274570077658)","African elephant, Loxodonta africana (0.161350473762)",Mexican hairless (0.131730735302),triceratops (0.0711941868067),warthog (0.058190073818),"hog, pig, grunter, squealer, Sus scrofa (0.0579118803144)",armadillo (0.0525404289365),tusker (0.0422340929508),"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour (0.0262746866792)","wild boar, boar, Sus scrofa (0.0225669909269)"
crocodile,52,space bar (0.1183334589),waffle iron (0.115189939737),"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus (0.113084465265)",Kerry blue terrier (0.0698461458087),"affenpinscher, monkey pinscher, monkey dog (0.0444185733795)","cleaver, meat cleaver, chopper (0.0404737256467)",typewriter keyboard (0.033650174737),"revolver, six-gun, six-shooter (0.0330409668386)",curly-coated retriever (0.020473562181),Windsor tie (0.0178291611373)
iguana,53,"green lizard, Lacerta viridis (0.301332741976)",peacock (0.120445020497),"African chameleon, Chamaeleo chamaeleon (0.104155883193)",stole (0.0913415551186),"American chameleon, anole, Anolis carolinensis (0.0833418741822)",sock (0.0793653577566),agama (0.024207605049),broccoli (0.0197769384831),"dishrag, dishcloth (0.0138333560899)","common iguana, iguana, Iguana iguana (0.0126610724255)"
cow,54,"Boston bull, Boston terrier (0.374040335417)","chocolate sauce, chocolate syrup (0.0934633687139)",Chihuahua (0.0443563498557),"punching bag, punch bag, punching ball, punchball (0.0393029078841)","corkscrew, bottle screw (0.0209504086524)","Cardigan, Cardigan Welsh corgi (0.0187397040427)","puck, hockey puck (0.015021760948)",Border collie (0.0149915711954),"ant, emmet, pismire (0.0116109335795)",rhinoceros beetle (0.0114219058305)
squirrel,55,"fox squirrel, eastern fox squirrel, Sciurus niger (0.153953805566)",Egyptian cat (0.149618700147),"black-footed ferret, ferret, Mustela nigripes (0.0536063499749)",Persian cat (0.0516830794513),"Angora, Angora rabbit (0.0487270504236)",hamster (0.043841611594),"tabby, tabby cat (0.0424582734704)","Siamese cat, Siamese (0.0351159274578)",hare (0.032226305455),schipperke (0.030556242913)
bison,56,bison (0.869051754475),"wild boar, boar, Sus scrofa (0.0299418643117)",ox (0.0202189516276),"American black bear, black bear, Ursus americanus, Euarctos americanus (0.0105800954625)","hog, pig, grunter, squealer, Sus scrofa (0.0104039153084)","water buffalo, water ox, Asiatic buffalo, Bubalus bubalis (0.00552332028747)",curly-coated retriever (0.00464854342863),"sloth bear, Melursus ursinus, Ursus ursinus (0.00427546910942)","hippopotamus, hippo, river horse, Hippopotamus amphibius (0.00377552467398)","ram, tup (0.00375399878249)"
bookcase,57,bookcase (0.953892707825),"medicine chest, medicine cabinet (0.0184113793075)",library (0.00629661325365),"china cabinet, china closet (0.00342127145268)",abacus (0.00271808565594),thimble (0.00161650578957),plate rack (0.00127827608958),"prison, prison house (0.00125370500609)",shoji (0.00120354292449),vending machine (0.000781980052125)
candycorn,58,"rubber eraser, rubber, pencil eraser (0.650636672974)",hair slide (0.132367894053),matchstick (0.0454584397376),jigsaw puzzle (0.042913403362),"dishrag, dishcloth (0.0136387934908)",dumbbell (0.0116940150037),pinwheel (0.0108620002866),"pick, plectrum, plectron (0.00772440899163)",whistle (0.00667407084256),pill bottle (0.00656056776643)
wardrobe,59,"wardrobe, closet, press (0.916668355465)","medicine chest, medicine cabinet (0.0434030629694)",plate rack (0.0253303069621),"binder, ring-binder (0.00176546652801)","china cabinet, china closet (0.00172302580904)",bookcase (0.00107964139897),safe (0.00099971704185),shower curtain (0.000972463807557),space heater (0.00088638975285),entertainment center (0.000537064042874)
rabbit,60,hare (0.857421040535),"wood rabbit, cottontail, cottontail rabbit (0.131273508072)","Angora, Angora rabbit (0.0109650855884)",hamster (9.35616335482e-05),quail (3.54936018994e-05),"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita (3.00140327454e-05)",peacock (1.91510516743e-05),broccoli (1.5760468159e-05),"prairie chicken, prairie grouse, prairie fowl (1.45201374835e-05)","fox squirrel, eastern fox squirrel, Sciurus niger (1.12683874249e-05)"
cookies,61,"ocarina, sweet potato (0.278210192919)",mitten (0.196628794074),"pajama, pyjama, pj's, jammies (0.0365191362798)","pencil box, pencil case (0.0330597870052)","wallet, billfold, notecase, pocketbook (0.0249490551651)","studio couch, day bed (0.0248987246305)","dishrag, dishcloth (0.0243361219764)",sleeping bag (0.0232103765011),purse (0.0223212316632),"clog, geta, patten, sabot (0.0202980861068)"
pottedplant,62,"pot, flowerpot (0.698678255081)",vase (0.259633392096),"quill, quill pen (0.019613629207)",daisy (0.00484462222084),pinwheel (0.00395663781092),goblet (0.00203516869806),"pineapple, ananas (0.00178477284499)","bucket, pail (0.000904909451492)",broom (0.000885124783963),paintbrush (0.000547510688193)
hamster,63,hamster (0.385317832232),"tub, vat (0.08436883986)",Persian cat (0.0531946793199),"Siamese cat, Siamese (0.0302656404674)","Angora, Angora rabbit (0.0278977993876)","feather boa, boa (0.0247262045741)","washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.0203344225883)","teddy, teddy bear (0.0181689020246)","bucket, pail (0.017526242882)",weasel (0.0168410595506)
firetruck,64,barbell (0.262106180191),tractor (0.0687087327242),dumbbell (0.0638234987855),"racer, race car, racing car (0.0437248125672)","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.0423485524952)","thresher, thrasher, threshing machine (0.0389906615019)","plow, plough (0.0322133637965)","garbage truck, dustcart (0.0278130415827)",forklift (0.0215913448483),"pickup, pickup truck (0.0205733906478)"
gloves,65,knee pad (0.150291159749),"swimming trunks, bathing trunks (0.12472794205)",purse (0.056494012475),"wallet, billfold, notecase, pocketbook (0.0515907071531)",velvet (0.0508836619556),"binder, ring-binder (0.0489226728678)","mailbag, postbag (0.0484390407801)",buckle (0.0416935123503),sleeping bag (0.0312358886003),shower cap (0.0274167377502)
rosemary,66,"quill, quill pen (0.212605059147)","swab, swob, mop (0.0836148038507)","pot, flowerpot (0.0553940497339)",knot (0.0463737286627),shower curtain (0.0403477959335),"feather boa, boa (0.0376170501113)",peacock (0.034593757242),"pineapple, ananas (0.0320487506688)",sock (0.0274026319385),broom (0.0236711222678)
discusfish,67,Windsor tie (0.331492573023),"bonnet, poke bonnet (0.0790481716394)",sarong (0.0455757752061),"wool, woolen, woollen (0.0415605008602)","piggy bank, penny bank (0.0382443405688)","swimming trunks, bathing trunks (0.0313538685441)","dishrag, dishcloth (0.0292470157146)",mitten (0.0286654550582),"pencil box, pencil case (0.0253567602485)","diaper, nappy, napkin (0.0238974951208)"
pig,68,"piggy bank, penny bank (0.549164414406)","white wolf, Arctic wolf, Canis lupus tundrarum (0.211205869913)","Arctic fox, white fox, Alopex lagopus (0.0509658977389)",Chihuahua (0.0236481036991),"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.0197263471782)",French bulldog (0.0197062660009),"Siamese cat, Siamese (0.0145103540272)",muzzle (0.00835184007883),schipperke (0.00814535561949),"hog, pig, grunter, squealer, Sus scrofa (0.00656489096582)"
bed,69,"studio couch, day bed (0.262127220631)",desk (0.11632668227),"dining table, board (0.108008958399)","washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.0831810832024)",bassinet (0.0505670979619),"bathtub, bathing tub, bath, tub (0.0324325375259)","tub, vat (0.0258769989014)",table lamp (0.0256438348442),four-poster (0.0222267135978),"grand piano, grand (0.0190167855471)"
bathrobe,70,trench coat (0.469868957996),overskirt (0.144782617688),"pajama, pyjama, pj's, jammies (0.132909685373)",velvet (0.106224574149),"hoopskirt, crinoline (0.0628441497684)",sarong (0.0256830919534),Windsor tie (0.0069103948772),"miniskirt, mini (0.00541275553405)",sweatshirt (0.00447825575247),"suit, suit of clothes (0.00409268867224)"
pretzels,71,spindle (0.257388859987),maraca (0.162731006742),hair slide (0.141079828143),"ocarina, sweet potato (0.0472403243184)",knot (0.0465595461428),safety pin (0.0266419313848),bottlecap (0.0241618230939),thimble (0.0202237237245),"pick, plectrum, plectron (0.0201486442238)","wool, woolen, woollen (0.0193104241043)"
snake,72,broccoli (0.0597725100815),hair slide (0.0446030236781),neck brace (0.0422658585012),"cucumber, cuke (0.0354995205998)",necklace (0.0280490294099),toilet seat (0.0235434249043),"dial telephone, dial phone (0.0180702134967)",bottlecap (0.0176956336945),"spotted salamander, Ambystoma maculatum (0.0173199232668)",chain (0.0170557592064)
