Object,Object_Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10
rabbit,60,hare (0.985408842564),"wood rabbit, cottontail, cottontail rabbit (0.0109386183321)","Angora, Angora rabbit (0.0036075792741)","piggy bank, penny bank (1.28909359773e-05)",hamster (7.33440128897e-06),"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita (6.56282554701e-06)","fox squirrel, eastern fox squirrel, Sciurus niger (1.82391386261e-06)",ptarmigan (1.82119720193e-06),"wallaby, brush kangaroo (1.45241858718e-06)",plastic bag (1.30501996409e-06)
motorcycle,47,moped (0.603960514069),"motor scooter, scooter (0.271495193243)","tricycle, trike, velocipede (0.099070854485)","bicycle-built-for-two, tandem bicycle, tandem (0.00606721732765)","disk brake, disc brake (0.00364662799984)",oxygen mask (0.00214603310451),"hook, claw (0.00208786455914)",crash helmet (0.000847508606967),nipple (0.000775748747401),"mountain bike, all-terrain bike, off-roader (0.000750983599573)"
catfish,28,"quill, quill pen (0.181597724557)","can opener, tin opener (0.0618352629244)","corkscrew, bottle screw (0.0564934723079)",oxygen mask (0.0344273075461),whistle (0.0249964315444),"hook, claw (0.0216869879514)",snorkel (0.0205475669354),"swab, swob, mop (0.0204774066806)","microphone, mike (0.0201136823744)","platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus (0.0196716058999)"
sedan,75,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.480011820793)",minivan (0.464191704988),convertible (0.011944103986),car wheel (0.0113415420055),"limousine, limo (0.00877767335624)","grille, radiator grille (0.00466096494347)","sports car, sport car (0.00443657347932)","pickup, pickup truck (0.00328442500904)",minibus (0.00238598161377),moving van (0.00117784389295)
kitten,78,"Arctic fox, white fox, Alopex lagopus (0.550198853016)","white wolf, Arctic wolf, Canis lupus tundrarum (0.184154734015)",hare (0.0461812019348),"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.0330630987883)","timber wolf, grey wolf, gray wolf, Canis lupus (0.0200571287423)","Angora, Angora rabbit (0.018502920866)","red fox, Vulpes vulpes (0.0154157485813)","grey fox, gray fox, Urocyon cinereoargenteus (0.010059393011)","fox squirrel, eastern fox squirrel, Sciurus niger (0.00972316600382)","piggy bank, penny bank (0.00805241242051)"
pig,68,"Arctic fox, white fox, Alopex lagopus (0.45860093832)","piggy bank, penny bank (0.231837183237)","white wolf, Arctic wolf, Canis lupus tundrarum (0.230354607105)","hog, pig, grunter, squealer, Sus scrofa (0.0424728505313)","ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.0151587259024)",hare (0.00589310796931),Chihuahua (0.00199605082162),"dingo, warrigal, warragal, Canis dingo (0.00179471354932)","red fox, Vulpes vulpes (0.00131038099062)","Siamese cat, Siamese (0.0011144480668)"
koalabear,39,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus (0.979734122753)","timber wolf, grey wolf, gray wolf, Canis lupus (0.00973940640688)","coyote, prairie wolf, brush wolf, Canis latrans (0.00378844910301)","grey fox, gray fox, Urocyon cinereoargenteus (0.00169425073545)","white wolf, Arctic wolf, Canis lupus tundrarum (0.000682070676703)","red wolf, maned wolf, Canis rufus, Canis niger (0.000628033652902)","fox squirrel, eastern fox squirrel, Sciurus niger (0.000533306738362)",warthog (0.000441986863734),wombat (0.000314349570544),"wallaby, brush kangaroo (0.000292364304187)"
sunflower,33,daisy (0.542763948441),pinwheel (0.237525880337),hair slide (0.064694583416),wall clock (0.0581008531153),sea urchin (0.0146106956527),"quill, quill pen (0.0134700201452)",cardoon (0.00837845541537),bee (0.00713579682633),earthstar (0.0054047005251),"swab, swob, mop (0.0045896358788)"
pug,22,"pug, pug-dog (0.503572404385)",French bulldog (0.219517275691),muzzle (0.0622375011444),"Boston bull, Boston terrier (0.036030266434)",Brabancon griffon (0.0298877209425),bull mastiff (0.015524928458),toy terrier (0.0106774913147),"Staffordshire bullterrier, Staffordshire bull terrier (0.0103086680174)","Norwegian elkhound, elkhound (0.0088155278936)",boxer (0.00863637216389)
elephant,51,triceratops (0.533608257771),"Indian elephant, Elephas maximus (0.116134293377)","African elephant, Loxodonta africana (0.109198525548)",warthog (0.0863885730505),"hog, pig, grunter, squealer, Sus scrofa (0.0525356717408)",tusker (0.0298008453101),"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis (0.0128190424293)","wild boar, boar, Sus scrofa (0.0113035347313)",Mexican hairless (0.00802705623209),"ram, tup (0.00652858987451)"
coffeetable,20,park bench (0.234283819795),space heater (0.0778565630317),rotisserie (0.0504520200193),"studio couch, day bed (0.037274248898)","harmonica, mouth organ, harp, mouth harp (0.0280838850886)",plate rack (0.0267626084387),printer (0.022556040436),paper towel (0.0225285235792),"parallel bars, bars (0.0150982523337)",hammer (0.0139838689938)
lamp,43,table lamp (0.982465386391),"lampshade, lamp shade (0.017403697595)","chime, bell, gong (6.760355609e-05)","spotlight, spot (2.11269762076e-05)",nipple (1.38611585498e-05),"punching bag, punch bag, punching ball, punchball (8.54170593811e-06)",tripod (3.54433518623e-06),"hook, claw (2.8960319014e-06)","pedestal, plinth, footstall (2.19772664423e-06)","hoopskirt, crinoline (1.6012377273e-06)"
ivy,77,pinwheel (0.137960165739),hair slide (0.117624491453),"hook, claw (0.0633340105414)",jigsaw puzzle (0.0630070641637),necklace (0.0627460479736),whistle (0.0572938472033),"plow, plough (0.0384985543787)","binder, ring-binder (0.0319669879973)",safety pin (0.0310658384115),"bow tie, bow-tie, bowtie (0.0265507940203)"
bedsidetable,29,"medicine chest, medicine cabinet (0.0783085003495)","file, file cabinet, filing cabinet (0.067167147994)",window screen (0.0495772920549),"binder, ring-binder (0.0431355908513)",desktop computer (0.0382007285953),desk (0.0300184581429),safe (0.0278545469046),stove (0.0276847109199),"television, television system (0.0272570736706)","screen, CRT screen (0.0261333212256)"
grasses,44,"quill, quill pen (0.668072998524)",cardoon (0.0409595295787),"sea anemone, anemone (0.0267243087292)","pineapple, ananas (0.0238854568452)",daisy (0.0155871687457),sea urchin (0.0139757068828),"pot, flowerpot (0.0132746091112)",centipede (0.0128891216591),vase (0.0116182779893),umbrella (0.0116170374677)
clownfish,35,"hook, claw (0.396044522524)",nipple (0.161320701241),whistle (0.0427808873355),jigsaw puzzle (0.0395562686026),oxygen mask (0.0357152931392),knot (0.0329040698707),snorkel (0.0193629506975),hair slide (0.015680283308),"can opener, tin opener (0.0144223505631)","switch, electric switch, electrical switch (0.0122532295063)"
minivan,7,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.436532706022)",minivan (0.325624167919),minibus (0.0931129828095),"pickup, pickup truck (0.0255720783025)",moving van (0.0135503849015),"limousine, limo (0.012323519215)",car wheel (0.0107780341059),"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria (0.00974523928016)","grille, radiator grille (0.00752349896356)",convertible (0.00715781096369)
sidetable,38,desk (0.641168415546),potter's wheel (0.231369167566),"pool table, billiard table, snooker table (0.0387186184525)","pedestal, plinth, footstall (0.0330842025578)",turnstile (0.0255042221397),"dining table, board (0.0102785686031)",guillotine (0.00324082211591),"washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.00182794488501)","parallel bars, bars (0.00177956058178)",stretcher (0.00167525047436)
pigeon,19,ptarmigan (0.193915680051),"albatross, mollymawk (0.186721608043)",chickadee (0.070172354579),hammer (0.0642609894276),spoonbill (0.0476148948073),kite (0.0453695878386),goose (0.0157019812614),whippet (0.0153583921492),magpie (0.0150191923603),"water ouzel, dipper (0.0144765349105)"
hamster,63,hamster (0.509801864624),hare (0.288134485483),"Angora, Angora rabbit (0.046256583184)",weasel (0.027430800721),"piggy bank, penny bank (0.0171238500625)","wood rabbit, cottontail, cottontail rabbit (0.0164060052484)",plastic bag (0.0118342945352),"Arctic fox, white fox, Alopex lagopus (0.00960452854633)",mink (0.00757632497698),"Siamese cat, Siamese (0.00707065174356)"
lion,48,oxygen mask (0.0470876730978),sea lion (0.0400760434568),"basset, basset hound (0.0327558591962)",Great Dane (0.0321450605989),"ocarina, sweet potato (0.0279071331024)","platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus (0.0274208616465)",Weimaraner (0.0235645249486),"cocker spaniel, English cocker spaniel, cocker (0.0232365559787)","three-toed sloth, ai, Bradypus tridactylus (0.0212714113295)",bluetick (0.018624227494)
rhino,49,triceratops (0.983780622482),"dugong, Dugong dugon (0.00778860412538)",warthog (0.00271936203353),"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.00233801454306)","hog, pig, grunter, squealer, Sus scrofa (0.000846855866257)","piggy bank, penny bank (0.000431545282481)","white wolf, Arctic wolf, Canis lupus tundrarum (0.000329934759066)","Arctic fox, white fox, Alopex lagopus (0.000187310230103)","African elephant, Loxodonta africana (0.000143370925798)",tusker (0.000130307249492)
sportscar,30,convertible (0.295130610466),"sports car, sport car (0.226266592741)",car wheel (0.122113242745),"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.109051175416)","pickup, pickup truck (0.0355687141418)","racer, race car, racing car (0.0330852121115)",minivan (0.0158652104437),"limousine, limo (0.014318138361)","grille, radiator grille (0.0137425027788)",stethoscope (0.0117039410397)
squirrel,55,"white wolf, Arctic wolf, Canis lupus tundrarum (0.247230008245)","Arctic fox, white fox, Alopex lagopus (0.143928393722)","coyote, prairie wolf, brush wolf, Canis latrans (0.133837938309)","kit fox, Vulpes macrotis (0.10077483952)","grey fox, gray fox, Urocyon cinereoargenteus (0.0951509997249)","timber wolf, grey wolf, gray wolf, Canis lupus (0.082392051816)","red fox, Vulpes vulpes (0.0754393711686)","Eskimo dog, husky (0.0276119876653)","lynx, catamount (0.0208274424076)","wallaby, brush kangaroo (0.0135983116925)"
ambulance,36,ambulance (0.317913532257),"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria (0.217659592628)","garbage truck, dustcart (0.132172912359)",moving van (0.0999114140868),"recreational vehicle, RV, R.V. (0.0827831178904)",minibus (0.051478471607),"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.0145923905075)","pickup, pickup truck (0.00777055555955)","mobile home, manufactured home (0.00737494882196)",minivan (0.00720564741641)
campshirt,74,"suit, suit of clothes (0.669774055481)",trench coat (0.217256829143),cardigan (0.0288423448801),Windsor tie (0.0226784627885),"wool, woolen, woollen (0.0132221514359)","lab coat, laboratory coat (0.0127943931147)",velvet (0.0072716390714),"jersey, T-shirt, tee shirt (0.00421324418858)","pajama, pyjama, pj's, jammies (0.0042086862959)",military uniform (0.00408522877842)
germanshepherd,23,"Eskimo dog, husky (0.378692448139)",Siberian husky (0.111622847617),"Siamese cat, Siamese (0.0739981159568)",Egyptian cat (0.0345133543015),jay (0.0299264974892),"Norwegian elkhound, elkhound (0.0262163262814)",toy terrier (0.0252511464059),"Ibizan hound, Ibizan Podenco (0.023549195379)","corkscrew, bottle screw (0.0194321349263)",hare (0.0123564060777)
dalmatian,27,"dalmatian, coach dog, carriage dog (0.336557507515)","corkscrew, bottle screw (0.178017273545)",English setter (0.0375912748277),Egyptian cat (0.0269187316298),German short-haired pointer (0.0230676364154),banded gecko (0.0228627845645),chain (0.0213136486709),hair slide (0.0164609216154),Great Dane (0.0122364461422),"oboe, hautboy, hautbois (0.0107157304883)"
chips,45,nipple (0.210241645575),plastic bag (0.203855216503),sleeping bag (0.101227469742),knot (0.0749662518501),oxygen mask (0.0509897172451),"diaper, nappy, napkin (0.0382618941367)",bassinet (0.032005161047),shower cap (0.0279502663761),whistle (0.0193608421832),running shoe (0.0186370294541)
socks,73,"panpipe, pandean pipe, syrinx (0.599949479103)",Windsor tie (0.236742243171),"coil, spiral, volute, whorl, helix (0.0473893284798)",sock (0.0174565184861),maraca (0.0163816418499),screwdriver (0.0144550940022),spatula (0.0106262732297),hair slide (0.00861115660518),matchstick (0.00698119960725),screw (0.004266963806)
parrot,5,macaw (0.933164954185),bee eater (0.038456492126),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0131298741326)","quill, quill pen (0.00323717086576)",lorikeet (0.00196970556863),ski (0.00148979795631),bow (0.000909600756131),"black stork, Ciconia nigra (0.000723584555089)","parachute, chute (0.000659761775751)",jay (0.000474863394629)
pandabear,26,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier (0.133353814483)","Staffordshire bullterrier, Staffordshire bull terrier (0.112178713083)","piggy bank, penny bank (0.109487123787)","giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca (0.0745172649622)",French bulldog (0.0705639123917),"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.0703613758087)","Siamese cat, Siamese (0.050852842629)","guinea pig, Cavia cobaya (0.0256215184927)",soccer ball (0.022735869512),"Sealyham terrier, Sealyham (0.021702311933)"
bed,69,"studio couch, day bed (0.448781907558)",bassinet (0.195375338197),desk (0.0708421617746),"washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.0561774261296)",cradle (0.0241313520819),"bathtub, bathing tub, bath, tub (0.0148903485388)","dining table, board (0.01400970947)",stretcher (0.0133513025939),paper towel (0.0125000681728),"crib, cot (0.0100847398862)"
crocodile,52,screw (0.106845587492),"quill, quill pen (0.106046266854)","gar, garfish, garpike, billfish, Lepisosteus osseus (0.0950152948499)","rule, ruler (0.0874940529466)",centipede (0.0776123404503),nail (0.0590987131),alligator lizard (0.0379153229296),"letter opener, paper knife, paperknife (0.0301067754626)",hair slide (0.0264491774142),bow (0.0211751163006)
pottedplant,62,"quill, quill pen (0.490056395531)","pot, flowerpot (0.294295161963)",vase (0.13760791719),"swab, swob, mop (0.0145397335291)",broom (0.00928323343396),daisy (0.00728165917099),"bucket, pail (0.00608499348164)",goblet (0.00339799653739),paintbrush (0.00333168543875),"plunger, plumber's helper (0.00317387585528)"
discusfish,67,Windsor tie (0.231705203652),"spotlight, spot (0.107864171267)",shower cap (0.0753675624728),plastic bag (0.0720297694206),"wool, woolen, woollen (0.0411640107632)",golf ball (0.0356210879982),"swab, swob, mop (0.0290195681155)","piggy bank, penny bank (0.0251227747649)","bonnet, poke bonnet (0.0221607722342)",head cabbage (0.015619344078)
rosemary,66,"quill, quill pen (0.648981273174)",broom (0.0593936666846),peacock (0.0519117899239),"swab, swob, mop (0.0483397394419)",hair slide (0.0181623306125),"feather boa, boa (0.0156821478158)",paintbrush (0.0131205813959),knot (0.0111261373386),hummingbird (0.00781202781945),jay (0.00679976353422)
cow,54,Great Dane (0.153757095337),"Staffordshire bullterrier, Staffordshire bull terrier (0.10392678529)",whippet (0.100742936134),ox (0.0904959961772),Italian greyhound (0.0841283723712),"Walker hound, Walker foxhound (0.0675689429045)","American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier (0.0470106713474)",English foxhound (0.0356454402208),Weimaraner (0.0285302754492),basenji (0.0231684651226)
daisy,24,daisy (0.422724068165),"quill, quill pen (0.235961124301)",hair slide (0.156371071935),pinwheel (0.0280246958137),"swab, swob, mop (0.0270825922489)","bolo tie, bolo, bola tie, bola (0.0152015369385)","indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0130993714556)",wall clock (0.0111555252224),screwdriver (0.0110473362729),"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk (0.0104219494388)"
iguana,53,"green lizard, Lacerta viridis (0.634408831596)","American chameleon, anole, Anolis carolinensis (0.167753443122)","African chameleon, Chamaeleo chamaeleon (0.0572614744306)",agama (0.0279732029885),stole (0.0189117193222),"common iguana, iguana, Iguana iguana (0.0146539667621)","frilled lizard, Chlamydosaurus kingi (0.0113518862054)",broccoli (0.0109099447727),"bonnet, poke bonnet (0.00624387944117)",sock (0.00553184468299)
popcorn,50,envelope (0.122485235333),hair slide (0.102948673069),water bottle (0.030447550118),screw (0.0286270864308),"rule, ruler (0.0269633717835)","hook, claw (0.0260881148279)",chain (0.022706322372),pill bottle (0.0218679476529),"binder, ring-binder (0.0213662255555)","spotlight, spot (0.021205957979)"
swordfish,25,kite (0.31739166379),"albatross, mollymawk (0.134535327554)",bee eater (0.105903469026),spoonbill (0.0641276910901),"walking stick, walkingstick, stick insect (0.0570211745799)",crane (0.0322242453694),goose (0.0240107364953),"mantis, mantid (0.0223898161203)","plow, plough (0.02031962201)","hammerhead, hammerhead shark (0.0187607239932)"
bathrobe,70,"hoopskirt, crinoline (0.28774407506)",velvet (0.129055574536),"pajama, pyjama, pj's, jammies (0.126096174121)",overskirt (0.117068193853),sarong (0.0361993461847),"miniskirt, mini (0.0317856557667)",wig (0.0292423851788),gown (0.0239954069257),kimono (0.023913461715),stole (0.0206167772412)
pretzels,71,hair slide (0.238788112998),chain (0.116199478507),nipple (0.111567348242),knot (0.0758244544268),necklace (0.0628522858024),"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour (0.0375579185784)","coil, spiral, volute, whorl, helix (0.0351456180215)",maraca (0.0244329143316),screw (0.0226721186191),"hook, claw (0.0197453107685)"
horse,46,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis (0.423657268286)",ox (0.243528708816),"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis (0.147046342492)",warthog (0.0541385784745),triceratops (0.0268349386752),oxcart (0.01821731776),Weimaraner (0.00861582066864),hartebeest (0.00834908336401),"ram, tup (0.00824748631567)",Mexican hairless (0.00734619842842)
gloves,65,"binder, ring-binder (0.0932373031974)","wallet, billfold, notecase, pocketbook (0.0601998791099)",buckle (0.0544613450766),purse (0.0492388047278),plate rack (0.0452421046793),shower cap (0.045137938112),whistle (0.0322121344507),"mailbag, postbag (0.0302793476731)","diaper, nappy, napkin (0.0238685198128)",mousetrap (0.0237138941884)
blackbear,14,"American black bear, black bear, Ursus americanus, Euarctos americanus (0.176988527179)",wombat (0.173031270504),"hog, pig, grunter, squealer, Sus scrofa (0.156304329634)","wild boar, boar, Sus scrofa (0.0874718204141)","Arctic fox, white fox, Alopex lagopus (0.0714723318815)","timber wolf, grey wolf, gray wolf, Canis lupus (0.0683136805892)","brown bear, bruin, Ursus arctos (0.0521192587912)","white wolf, Arctic wolf, Canis lupus tundrarum (0.0463548116386)","cougar, puma, catamount, mountain lion, painter, panther, Felis concolor (0.0222313143313)",Egyptian cat (0.0169423315674)
wardrobe,59,"wardrobe, closet, press (0.771897256374)","medicine chest, medicine cabinet (0.162981942296)",plate rack (0.029116736725),"china cabinet, china closet (0.00397116644308)","binder, ring-binder (0.00299902912229)",window shade (0.00276456400752),safe (0.0020148770418),"microwave, microwave oven (0.00200583646074)","refrigerator, icebox (0.00181275245268)",space heater (0.00156538025476)
snake,72,toilet seat (0.154019504786),oxygen mask (0.0467720292509),necklace (0.0434371680021),bib (0.0344035997987),sewing machine (0.024981027469),"hook, claw (0.022692412138)","rule, ruler (0.0225419253111)","iron, smoothing iron (0.0217522773892)",analog clock (0.0206337459385),hair slide (0.0199393518269)
polarbear,21,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.938842535019)",Great Pyrenees (0.0226761214435),kuvasz (0.0190252456814),"Arctic fox, white fox, Alopex lagopus (0.00677468022332)","white wolf, Arctic wolf, Canis lupus tundrarum (0.00436068000272)","Samoyed, Samoyede (0.00216584443115)",golden retriever (0.00206577847712),badger (0.00103730824776),Labrador retriever (0.000426373124355),"brown bear, bruin, Ursus arctos (0.000339447055012)"
