Object,Object_Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10
grizzlybear,3,badger (0.273572832346),"American black bear, black bear, Ursus americanus, Euarctos americanus (0.239967256784)",mink (0.0874635651708),"brown bear, bruin, Ursus arctos (0.0787330940366)","polecat, fitch, foulmart, foumart, Mustela putorius (0.0578228980303)",otter (0.0570153780282),beaver (0.0532467551529),weasel (0.020991794765),"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.0175775643438)","black-footed ferret, ferret, Mustela nigripes (0.0172373689711)"
jellybeans,10,hair slide (0.736255526543),"rubber eraser, rubber, pencil eraser (0.199462294579)",matchstick (0.018939582631),"pick, plectrum, plectron (0.0112355090678)",whistle (0.00876998156309),"wool, woolen, woollen (0.00454222364351)",abacus (0.00321151781827),necklace (0.00264930422418),jigsaw puzzle (0.00230307714082),safety pin (0.00195653387345)
skittles,32,"rubber eraser, rubber, pencil eraser (0.491194903851)",hair slide (0.235753417015),"pick, plectrum, plectron (0.0891282856464)",joystick (0.0309094358236),thimble (0.0266580525786),pill bottle (0.0253318380564),necklace (0.0190187767148),bottlecap (0.0133130894974),matchstick (0.00911183003336),whistle (0.00617631804198)
lily,76,pinwheel (0.966832458973),hair slide (0.00788839254528),wall clock (0.00487704854459),street sign (0.00297345174477),"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk (0.00122183223721)",screwdriver (0.00121363974176),screw (0.00111393106636),"can opener, tin opener (0.00107255217154)","corkscrew, bottle screw (0.000871214084327)","rubber eraser, rubber, pencil eraser (0.000742365373299)"
gummybears,8,hair slide (0.248204901814),"rubber eraser, rubber, pencil eraser (0.167292922735)","pick, plectrum, plectron (0.14602252841)",pinwheel (0.0690755546093),pencil sharpener (0.0523470379412),whistle (0.0520533248782),"candle, taper, wax light (0.0384746529162)",knot (0.0285288523883),"pot, flowerpot (0.0236085448414)","clog, geta, patten, sabot (0.0222615171224)"
hawaiishirt,18,fur coat (0.741565048695),kimono (0.120104551315),"pajama, pyjama, pj's, jammies (0.0478524453938)",military uniform (0.0284734331071),vestment (0.0213481411338),stole (0.016281766817),velvet (0.00825319625437),trench coat (0.00463150953874),poncho (0.00228887028061),cuirass (0.00218168413267)
rabbit,60,hare (0.836499214172),"wood rabbit, cottontail, cottontail rabbit (0.156036689878)","Angora, Angora rabbit (0.00738605810329)",hamster (4.20534342993e-05),broccoli (1.01671430457e-05),"fox squirrel, eastern fox squirrel, Sciurus niger (3.17891749546e-06)","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita (2.90164234684e-06)","wallaby, brush kangaroo (2.78316815638e-06)",Egyptian cat (2.39889550357e-06),quail (1.89837032849e-06)
motorcycle,47,"motor scooter, scooter (0.551322102547)",moped (0.386516183615),"tricycle, trike, velocipede (0.0228093378246)",crash helmet (0.0155195603147),"bicycle-built-for-two, tandem bicycle, tandem (0.0151163917035)","hook, claw (0.00131730816793)","mountain bike, all-terrain bike, off-roader (0.000885408604518)","disk brake, disc brake (0.000482142699184)","unicycle, monocycle (0.000443627301138)",hair slide (0.000441677228082)
catfish,28,"spotted salamander, Ambystoma maculatum (0.198925182223)",slug (0.148227453232),weevil (0.119259595871),"common newt, Triturus vulgaris (0.110141001642)","ground beetle, carabid beetle (0.0629600808024)","African chameleon, Chamaeleo chamaeleon (0.0560093969107)",alligator lizard (0.0460819602013),"long-horned beetle, longicorn, longicorn beetle (0.0386122018099)","European fire salamander, Salamandra salamandra (0.0320465005934)","cockroach, roach (0.0126564633101)"
sedan,75,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.546594321728)",minivan (0.33305683732),"grille, radiator grille (0.0376532264054)",convertible (0.0255926828831),car wheel (0.0195597186685),"sports car, sport car (0.0185757093132)","limousine, limo (0.00947012379766)","pickup, pickup truck (0.00211047241464)",toaster (0.00116856081877),canoe (0.00077148375567)
kitten,78,"Angora, Angora rabbit (0.121389515698)","Arctic fox, white fox, Alopex lagopus (0.120387092233)",schipperke (0.106751896441),Persian cat (0.0687754824758),groenendael (0.0565271638334),"piggy bank, penny bank (0.0293482206762)","white wolf, Arctic wolf, Canis lupus tundrarum (0.0289237517864)",keeshond (0.0221758056432),shower curtain (0.0194938387722),jay (0.0186368953437)
pig,68,"piggy bank, penny bank (0.449535191059)","white wolf, Arctic wolf, Canis lupus tundrarum (0.285476386547)","Arctic fox, white fox, Alopex lagopus (0.217071920633)","ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.0064597078599)","hog, pig, grunter, squealer, Sus scrofa (0.00593232503161)",schipperke (0.00535107962787),Chihuahua (0.00525595946237),"Siamese cat, Siamese (0.00497898645699)","red fox, Vulpes vulpes (0.00173617620021)",Egyptian cat (0.0014973069774)
koalabear,39,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus (0.496029913425)",groenendael (0.0535329245031),toy poodle (0.0379101336002),"chow, chow chow (0.0356009118259)","teddy, teddy bear (0.0332338362932)",miniature poodle (0.0312030352652),"Scotch terrier, Scottish terrier, Scottie (0.0261432640254)","affenpinscher, monkey pinscher, monkey dog (0.0250357370824)","Norwegian elkhound, elkhound (0.0191168468446)",Kerry blue terrier (0.0159186534584)
sunflower,33,daisy (0.479698240757),pinwheel (0.327036887407),wall clock (0.0763595849276),hair slide (0.0312950201333),bee (0.0303324349225),cardoon (0.0176355782896),"quill, quill pen (0.0116501385346)",sea urchin (0.0036592700053),fly (0.00355499959551),"pot, flowerpot (0.00253984401934)"
pug,22,"pug, pug-dog (0.752497375011)",Brabancon griffon (0.123557932675),French bulldog (0.0717815160751),"Boston bull, Boston terrier (0.0201550107449)","Norwegian elkhound, elkhound (0.0186235457659)",bull mastiff (0.00388046796434),toy terrier (0.00218794029206),muzzle (0.00140240520705),boxer (0.000990557367913),Great Dane (0.000749825616367)
elephant,51,triceratops (0.374600946903),"Indian elephant, Elephas maximus (0.338482826948)","African elephant, Loxodonta africana (0.082741074264)",tusker (0.0624059922993),Mexican hairless (0.0535616874695),armadillo (0.0179188232869),warthog (0.0135954413563),"ram, tup (0.00808433070779)","Staffordshire bullterrier, Staffordshire bull terrier (0.00716510694474)","bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis (0.00712542701513)"
coffeetable,20,paper towel (0.143858611584),fountain pen (0.101164482534),printer (0.10008328408),park bench (0.0884040892124),"harmonica, mouth organ, harp, mouth harp (0.0603835955262)","studio couch, day bed (0.0601137727499)",space heater (0.0337529107928),"mailbox, letter box (0.0325882546604)","home theater, home theatre (0.0226384066045)",CD player (0.0221138633788)
lamp,43,table lamp (0.912909865379),"lampshade, lamp shade (0.0869608521461)","chime, bell, gong (0.000109554290248)","spotlight, spot (6.42669147055e-06)","punching bag, punch bag, punching ball, punchball (4.62334674012e-06)","hook, claw (3.1043027775e-06)",tripod (1.60813829098e-06),"pedestal, plinth, footstall (8.54380459714e-07)","hoopskirt, crinoline (4.26699415357e-07)",umbrella (3.16912860399e-07)
ivy,77,pinwheel (0.244958907366),"pot, flowerpot (0.0763856470585)",hair slide (0.0698742941022),jigsaw puzzle (0.0574492961168),Christmas stocking (0.0434443987906),vase (0.0373461954296),"hook, claw (0.035096373409)",necklace (0.0333793796599),soap dispenser (0.027209000662),safety pin (0.027108727023)
bedsidetable,29,"file, file cabinet, filing cabinet (0.128492921591)",safe (0.0627892911434),stove (0.0408037416637),window screen (0.0388196744025),"medicine chest, medicine cabinet (0.0387756824493)",chest (0.0317071229219),"chiffonier, commode (0.0304058045149)","binder, ring-binder (0.0278047807515)","fire screen, fireguard (0.0274156108499)","television, television system (0.0253688525409)"
grasses,44,"pineapple, ananas (0.351944595575)","quill, quill pen (0.262025594711)","pot, flowerpot (0.114572294056)",vase (0.0658384039998),daisy (0.041578758508),cardoon (0.0314243808389),centipede (0.0207737144083),sea urchin (0.0190062299371),hummingbird (0.0124773159623),"sea anemone, anemone (0.00950468797237)"
clownfish,35,joystick (0.0977781489491),"clog, geta, patten, sabot (0.0578410476446)","hook, claw (0.0527766644955)",knot (0.0517884865403),coffee mug (0.0346299260855),"gasmask, respirator, gas helmet (0.0345280580223)",jigsaw puzzle (0.0325355120003),knee pad (0.029198622331),"ocarina, sweet potato (0.0290365256369)",pencil sharpener (0.0276204962283)
minivan,7,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.497817844152)",minivan (0.417720884085),minibus (0.0368986800313),"limousine, limo (0.0120938299224)","grille, radiator grille (0.00593291269615)",ambulance (0.00464066816494),"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria (0.0044022439979)",car wheel (0.00351845147088),"pickup, pickup truck (0.00298112840392)","passenger car, coach, carriage (0.00254759239033)"
sidetable,38,desk (0.335832446814),"pedestal, plinth, footstall (0.190726652741)","pool table, billiard table, snooker table (0.169298827648)",turnstile (0.130409687757),potter's wheel (0.0818079337478),"dining table, board (0.0233879927546)",guillotine (0.0127853984013),"parallel bars, bars (0.010370047763)","medicine chest, medicine cabinet (0.00447212578729)","marimba, xylophone (0.00423793308437)"
pigeon,19,"water ouzel, dipper (0.135739833117)",chickadee (0.130003884435),hummingbird (0.11747661978),magpie (0.0941616147757),"albatross, mollymawk (0.0654826834798)",bulbul (0.0404666736722),spoonbill (0.0367072783411),ptarmigan (0.0340863652527),"brambling, Fringilla montifringilla (0.0339589454234)",kite (0.0286241862923)
hamster,63,hamster (0.185990318656),"tub, vat (0.11346527189)","feather boa, boa (0.0971291214228)","Siamese cat, Siamese (0.0775635093451)","piggy bank, penny bank (0.0739856809378)",Egyptian cat (0.0381055623293),"Angora, Angora rabbit (0.0210344623774)","washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.0200739987195)",plastic bag (0.0166145507246),hare (0.016229018569)
lion,48,peacock (0.116759583354),flat-coated retriever (0.0930552184582),"siamang, Hylobates syndactylus, Symphalangus syndactylus (0.084851257503)",bluetick (0.070984095335),Gordon setter (0.0653221532702),macaw (0.0505390390754),knot (0.046044960618),"chimpanzee, chimp, Pan troglodytes (0.0413261540234)","cocker spaniel, English cocker spaniel, cocker (0.0379113294184)",sleeping bag (0.0166043806821)
rhino,49,triceratops (0.929094016552),"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis (0.0172916390002)","hippopotamus, hippo, river horse, Hippopotamus amphibius (0.01333219558)",warthog (0.00859840307385),bison (0.00746750133112),"dugong, Dugong dugon (0.00727140251547)","hog, pig, grunter, squealer, Sus scrofa (0.00703044608235)","wild boar, boar, Sus scrofa (0.00127277185675)",ox (0.000840120424982),"piggy bank, penny bank (0.00078533164924)"
sportscar,30,"sports car, sport car (0.332064807415)",convertible (0.227320715785),"racer, race car, racing car (0.173633381724)",car wheel (0.0842005684972),"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.0799902305007)","grille, radiator grille (0.0225244648755)","limousine, limo (0.00867113098502)",minivan (0.00538004981354),"pickup, pickup truck (0.00520230643451)",stethoscope (0.00395436724648)
squirrel,55,schipperke (0.308750629425),Egyptian cat (0.208079397678),groenendael (0.131286352873),"Scotch terrier, Scottish terrier, Scottie (0.0567720346153)","Siamese cat, Siamese (0.0295644979924)","tabby, tabby cat (0.0292515400797)",tiger cat (0.023792585358),"lynx, catamount (0.0184455476701)","Norwegian elkhound, elkhound (0.0150088723749)","grey fox, gray fox, Urocyon cinereoargenteus (0.0132138924673)"
ambulance,36,ambulance (0.699259340763),"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria (0.120481111109)",moving van (0.0396746061742),"recreational vehicle, RV, R.V. (0.0387896709144)","garbage truck, dustcart (0.0287761297077)",minibus (0.0179775115103),"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.0108675975353)","limousine, limo (0.00683985603973)",minivan (0.0055190846324),"pickup, pickup truck (0.00472030648962)"
campshirt,74,trench coat (0.854178607464),"suit, suit of clothes (0.138426423073)",cardigan (0.00186785601545),Windsor tie (0.00145014445297),fur coat (0.00130250456277),"wool, woolen, woollen (0.000721523654647)",military uniform (0.000571834563743),velvet (0.000408858875744),"lab coat, laboratory coat (0.000229643643252)","pajama, pyjama, pj's, jammies (0.000213732375414)"
germanshepherd,23,jay (0.373240083456),"Eskimo dog, husky (0.0843271240592)",Egyptian cat (0.0565852671862),pinwheel (0.0405057482421),toy terrier (0.0334424301982),"Cardigan, Cardigan Welsh corgi (0.0247863717377)",Siberian husky (0.0229371171445),"Norwegian elkhound, elkhound (0.0194842331111)","Boston bull, Boston terrier (0.0191711317748)","can opener, tin opener (0.0181986670941)"
dalmatian,27,"king snake, kingsnake (0.466128766537)","Gila monster, Heloderma suspectum (0.114414565265)","hognose snake, puff adder, sand viper (0.0797990933061)","night snake, Hypsiglena torquata (0.0548929385841)",banded gecko (0.0377429835498),"spotted salamander, Ambystoma maculatum (0.0190110169351)","diamondback, diamondback rattlesnake, Crotalus adamanteus (0.0186697840691)",chain (0.0158994309604),alligator lizard (0.0150634320453),necklace (0.0132428687066)
chips,45,"swimming trunks, bathing trunks (0.237577959895)",knot (0.189601808786),sleeping bag (0.11203738302),plastic bag (0.0633057132363),"diaper, nappy, napkin (0.0509744547307)","swab, swob, mop (0.0382484011352)","pajama, pyjama, pj's, jammies (0.0374419912696)",velvet (0.0219458881766),"piggy bank, penny bank (0.0208309628069)","brassiere, bra, bandeau (0.0173006467521)"
socks,73,"panpipe, pandean pipe, syrinx (0.336044877768)",sock (0.117402136326),"coil, spiral, volute, whorl, helix (0.108033038676)",Windsor tie (0.077939838171),matchstick (0.0608559288085),Christmas stocking (0.04596959427),abacus (0.0431172400713),screwdriver (0.037669479847),"rubber eraser, rubber, pencil eraser (0.0353355035186)",spatula (0.021089412272)
parrot,5,macaw (0.986325562),bee eater (0.00630525685847),lorikeet (0.00333968712948),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.00239089946263)",ski (0.000283002184005),"European gallinule, Porphyrio porphyrio (0.000264717964455)",hummingbird (0.000188623496797),"goldfinch, Carduelis carduelis (0.000152518608957)",jay (0.000124694270198),bow (8.57071718201e-05)
pandabear,26,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca (0.967637717724)",soccer ball (0.00300560262986),"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier (0.00270797032863)","Siamese cat, Siamese (0.00266468850896)","Staffordshire bullterrier, Staffordshire bull terrier (0.00241678580642)","teddy, teddy bear (0.00185306172352)",weasel (0.00133204378653),"guinea pig, Cavia cobaya (0.00124493299518)","Old English sheepdog, bobtail (0.0011821417138)","Boston bull, Boston terrier (0.00112448132131)"
bed,69,"studio couch, day bed (0.262127220631)",desk (0.11632668227),"dining table, board (0.108008958399)","washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.0831810832024)",bassinet (0.0505670979619),"bathtub, bathing tub, bath, tub (0.0324325375259)","tub, vat (0.0258769989014)",table lamp (0.0256438348442),four-poster (0.0222267135978),"grand piano, grand (0.0190167855471)"
crocodile,52,"American alligator, Alligator mississipiensis (0.23469722271)","spotted salamander, Ambystoma maculatum (0.0799752473831)",rifle (0.0665123835206),alligator lizard (0.0587908625603),"assault rifle, assault gun (0.0388020277023)","oboe, hautboy, hautbois (0.038448292762)","gar, garfish, garpike, billfish, Lepisosteus osseus (0.0370659604669)","African crocodile, Nile crocodile, Crocodylus niloticus (0.034465353936)","letter opener, paper knife, paperknife (0.0341486856341)",scabbard (0.0339475907385)
pottedplant,62,"pot, flowerpot (0.698678255081)",vase (0.259633392096),"quill, quill pen (0.019613629207)",daisy (0.00484462222084),pinwheel (0.00395663781092),goblet (0.00203516869806),"pineapple, ananas (0.00178477284499)","bucket, pail (0.000904909451492)",broom (0.000885124783963),paintbrush (0.000547510688193)
discusfish,67,Windsor tie (0.157990574837),"piggy bank, penny bank (0.141006216407)","bonnet, poke bonnet (0.111338809133)","wool, woolen, woollen (0.0453550256789)",sarong (0.0372294411063),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0357600711286)","swab, swob, mop (0.0295662079006)","swimming trunks, bathing trunks (0.0255577284843)",stole (0.0238645896316),lorikeet (0.0219308752567)
rosemary,66,peacock (0.3809479177),"quill, quill pen (0.264636486769)",hair slide (0.0777082964778),hummingbird (0.0764608681202),broom (0.0376986712217),"feather boa, boa (0.0220961030573)","swab, swob, mop (0.0156589373946)",macaw (0.0105186598375),"pot, flowerpot (0.00839304737747)",pinwheel (0.00779003556818)
cow,54,"puck, hockey puck (0.245993316174)","Boston bull, Boston terrier (0.207844689488)","chocolate sauce, chocolate syrup (0.0914980247617)",Great Dane (0.0372591689229),"Walker hound, Walker foxhound (0.0327812992036)","dalmatian, coach dog, carriage dog (0.0326045155525)","Staffordshire bullterrier, Staffordshire bull terrier (0.0256258323789)",Italian greyhound (0.0238983202726),"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus (0.0214138384908)","Cardigan, Cardigan Welsh corgi (0.0162673089653)"
daisy,24,"bolo tie, bolo, bola tie, bola (0.211001127958)",hair slide (0.160769850016),"quill, quill pen (0.146117180586)",pinwheel (0.115572556853),daisy (0.104011580348),wall clock (0.0845201835036),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0477796420455)","dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk (0.0184207633138)",cardoon (0.0149372052401),hummingbird (0.0147501211613)
iguana,53,"green lizard, Lacerta viridis (0.446845293045)",broccoli (0.140384495258),stole (0.111311785877),"American chameleon, anole, Anolis carolinensis (0.0598965808749)",sock (0.039802506566),peacock (0.0330284833908),agama (0.0311151854694),mitten (0.0258858855814),"African chameleon, Chamaeleo chamaeleon (0.024104103446)",Christmas stocking (0.0199074521661)
popcorn,50,hair slide (0.326908588409),jigsaw puzzle (0.150004327297),"rubber eraser, rubber, pencil eraser (0.0427875481546)",water bottle (0.0271056517959),pencil sharpener (0.019172610715),"handkerchief, hankie, hanky, hankey (0.0164221152663)",knot (0.0162903629243),screw (0.0162187926471),"piggy bank, penny bank (0.0146585935727)","swimming trunks, bathing trunks (0.0136989112943)"
swordfish,25,bee eater (0.188214957714),bulbul (0.107857458293),goose (0.0903598517179),kite (0.0836490988731),"albatross, mollymawk (0.0475144088268)",hummingbird (0.0389823652804),jacamar (0.0339181162417),quail (0.0272032450885),crane (0.0252537820488),"walking stick, walkingstick, stick insect (0.0234801806509)"
bathrobe,70,velvet (0.284128606319),trench coat (0.271960318089),overskirt (0.09830981493),"hoopskirt, crinoline (0.0656549185514)","pajama, pyjama, pj's, jammies (0.0599680878222)",fur coat (0.0408898852766),wig (0.0280402675271),gown (0.0212003067136),kimono (0.0199075080454),"miniskirt, mini (0.0132605647668)"
pretzels,71,knot (0.533937573433),hair slide (0.176145642996),chain (0.0427916757762),spindle (0.0262891463935),necklace (0.0239328220487),"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour (0.0223075225949)",maraca (0.0136702349409),mitten (0.0129812117666),"ocarina, sweet potato (0.0121967317536)","coil, spiral, volute, whorl, helix (0.0121727474034)"
horse,46,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis (0.322803169489)",ox (0.128898769617),"Staffordshire bullterrier, Staffordshire bull terrier (0.0650774762034)",Great Dane (0.0392714701593),Mexican hairless (0.0358028709888),"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis (0.031268376857)",flat-coated retriever (0.0311962962151),"Saluki, gazelle hound (0.0296173803508)",muzzle (0.0295823216438),whippet (0.025761121884)
gloves,65,buckle (0.145725786686),"backpack, back pack, knapsack, packsack, rucksack, haversack (0.100580468774)",purse (0.0977236703038),"swimming trunks, bathing trunks (0.09428075701)",knee pad (0.0881816372275),"wallet, billfold, notecase, pocketbook (0.0487973615527)","mailbag, postbag (0.0456508435309)","binder, ring-binder (0.0306899715215)","pencil box, pencil case (0.0240088962018)",velvet (0.0238237380981)
blackbear,14,"American black bear, black bear, Ursus americanus, Euarctos americanus (0.817872822285)","brown bear, bruin, Ursus arctos (0.0842570364475)",wombat (0.0412339121103),"sloth bear, Melursus ursinus, Ursus ursinus (0.0117268767208)",schipperke (0.0104567222297),"wild boar, boar, Sus scrofa (0.00722646946087)","hog, pig, grunter, squealer, Sus scrofa (0.00393310980871)","timber wolf, grey wolf, gray wolf, Canis lupus (0.00345733598806)",kelpie (0.00219919113442),mink (0.00191717362031)
wardrobe,59,"wardrobe, closet, press (0.853494048119)","medicine chest, medicine cabinet (0.116454996169)",plate rack (0.0125981708989),safe (0.00271305418573),"china cabinet, china closet (0.00244068121538)","binder, ring-binder (0.00198884820566)",bookcase (0.000885118613951),"doormat, welcome mat (0.00069001148222)",sliding door (0.000633126415778),space heater (0.000631827162579)
snake,72,broccoli (0.0520895086229),hair slide (0.0505016185343),toilet seat (0.0467443726957),"cucumber, cuke (0.0383077785373)","dial telephone, dial phone (0.0271330066025)",bottlecap (0.0250447392464),necklace (0.0249992795289),purse (0.021167350933),bib (0.0203378237784),neck brace (0.0167718008161)
polarbear,21,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.751415014267)",badger (0.0522398799658),Great Pyrenees (0.039568759501),kuvasz (0.0322761461139),golden retriever (0.0297368988395),Labrador retriever (0.020320000127),otter (0.00890092924237),"African grey, African gray, Psittacus erithacus (0.00790580175817)","Arctic fox, white fox, Alopex lagopus (0.00498218555003)","Samoyed, Samoyede (0.00419013109058)"
dressshirt,1,trench coat (0.564177632332),fur coat (0.180736586452),sweatshirt (0.055188447237),"suit, suit of clothes (0.0420493111014)",poncho (0.0404864698648),cloak (0.0256140567362),velvet (0.0185291096568),cardigan (0.0165779422969),stole (0.00818438548595),"pajama, pyjama, pj's, jammies (0.00484538543969)"
